gamma1,gamma2,norm,log10_break_energy_gev,scan
1.6391223908773718,2.735,1.77e-18,4.52856554677207,gamma1-log10_break_energy_gev
1.760412298432188,2.735,1.77e-18,4.54002868357488,gamma1-log10_break_energy_gev
1.7429125951544426,2.735,1.77e-18,4.349258893280632,gamma1-log10_break_energy_gev
1.8553044884991217,2.735,1.77e-18,4.541545207509882,gamma1-log10_break_energy_gev
1.835075909431473,2.735,1.77e-18,4.374192330917875,gamma1-log10_break_energy_gev
1.906720720947396,2.735,1.77e-18,4.431204710144929,gamma1-log10_break_energy_gev
1.9373278041968591,2.735,1.77e-18,4.524082880434783,gamma1-log10_break_energy_gev
1.9420168730170708,2.735,1.77e-18,4.472302827380953,gamma1-log10_break_energy_gev
0.6924441425120778,2.735,1.5066953502415456e-18,4.39,norm-gamma1
0.50354770531401,2.735,1.5032608695652173e-18,4.39,norm-gamma1
0.3637152777777785,2.735,1.5032608695652173e-18,4.39,norm-gamma1
0.1699124396135269,2.735,1.5032608695652173e-18,4.39,norm-gamma1
0.0626725327812289,2.735,1.5066953502415456e-18,4.39,norm-gamma1
0.8322765700483092,2.735,1.5135643115942028e-18,4.39,norm-gamma1
1.0258907004830924,2.735,1.522018417874396e-18,4.39,norm-gamma1
1.1666127501725327,2.735,1.5341711956521737e-18,4.39,norm-gamma1
1.3552989130434785,2.735,1.5513435990338164e-18,4.39,norm-gamma1
1.4782042572463778,2.735,1.5719504830917873e-18,4.39,norm-gamma1
1.676878450655626,2.735,1.6239583333333331e-18,4.39,norm-gamma1
1.7876229296066262,2.735,1.6715504227053136e-18,4.39,norm-gamma1
1.9259579490557757,2.735,1.760846920289855e-18,4.39,norm-gamma1
1.9814647074610845,2.735,1.835642277241009e-18,4.39,norm-gamma1
0.0398928140096623,2.735,1.832971014492754e-18,4.39,norm-gamma1
0.2033651734738697,2.735,1.8576368302591124e-18,4.39,norm-gamma1
0.3332255003450655,2.735,1.8707503019323667e-18,4.39,norm-gamma1
0.5365544027228815,2.735,1.895103892182697e-18,4.39,norm-gamma1
1.9476650563607087,2.735,1.9211226851851852e-18,4.39,norm-gamma1
0.674643141274224,2.735,1.911964070048309e-18,4.39,norm-gamma1
0.8510101010101012,2.735,1.943186621651295e-18,4.39,norm-gamma1
0.9738612836438928,2.735,1.9600467995169083e-18,4.39,norm-gamma1
1.928039452495974,2.735,1.9806536835748792e-18,4.39,norm-gamma1
1.182266505636071,2.735,1.9932467793880834e-18,4.39,norm-gamma1
1.3052380473123222,2.735,2.014998490338164e-18,4.39,norm-gamma1
1.8051457902001375,2.735,2.035605374396135e-18,4.39,norm-gamma1
1.4950495672302733,2.735,2.035605374396135e-18,4.39,norm-gamma1
1.6222071256038657,2.735,2.0459088164251204e-18,4.39,norm-gamma1
1.31,2.6296195652173915,1.77e-18,4.356552143508666,gamma2-log10_break_energy_gev
